CODE	CLASS
181948	d
181603	d
182208	d
181493	d
182840	d
181925	d
181498	d
182034	d
182059	d
183552	d
181202	d
182872	d
183050	d
182490	d
182303	d
181502	d
183428	d
131270	d
130706	d
132139	d
129331	d
129483	d
129326	d
131437	d
132109	d
131602	d
129316	d
130629	d
131751	d
131988	d
129377	d
131540	d
132464	d
132104	d
131416	d
131531	d
131985	d
132105	d
131022	d
128949	d
130150	d
130293	d
130469	d
135593	d
137056	d
130149	d
130045	d
130121	d
135533	d
135827	d
128928	d
136474	d
130433	d
136869	d
137094	d
129742	d
137194	d
129062	d
128557	d
135864	d
135578	d
130425	d
136602	d
129657	d
133592	d
137293	d
138343	d
137870	d
137707	d
132844	d
133650	d
133661	d
137864	d
133549	d
137568	d
133688	d
133570	d
137690	d
133646	d
137682	d
134424	d
134436	d
134522	d
134286	d
134483	d
123667	d
134454	d
134135	d
135099	d
123778	d
123170	d
122201	d
122663	d
127496	d
121759	d
121772	d
122789	d
121373	d
121391	d
125018	d
127933	d
127034	d
125031	d
125342	d
124963	d
128136	d
127732	d
126210	d
126264	d
152556	d
154406	d
152458	d
152539	d
152555	d
153031	d
154568	d
151844	d
152310	d
151982	d
150170	d
150863	d
151897	d
152189	d
153821	d
154241	d
151918	d
150945	d
152169	d
153749	d
150690	d
154195	d
151146	d
157030	d
157031	d
157039	d
157492	d
151699	d
151765	d
157986	d
158818	d
159159	d
158138	d
157102	d
158896	d
157425	d
157989	d
151264	d
158912	d
159271	d
158445	d
151726	d
158974	d
155097	d
155484	d
156703	d
155152	d
155802	d
155879	d
155890	d
155896	d
155897	d
155908	d
156572	d
156834	d
158740	d
155110	d
156841	d
155891	d
155918	d
155926	d
156828	d
155075	d
155544	d
158649	d
142997	d
144267	d
144988	d
143660	d
143747	d
142877	d
144828	d
143729	d
142202	d
144002	d
142216	d
142511	d
142640	d
142667	d
142773	d
143341	d
143600	d
144987	d
144998	d
144999	d
143094	d
142395	d
143080	d
143093	d
143109	d
143110	d
143852	d
144645	d
142929	d
143914	d
144341	d
144355	d
144392	d
143748	d
138656	d
139704	d
140027	d
139827	d
141601	d
138910	d
141395	d
141396	d
144082	d
140593	d
140594	d
140625	d
140626	d
138710	d
140608	d
142014	d
141790	d
142033	d
138829	d
140643	d
140504	d
139426	d
138961	d
139579	d
141375	d
139840	d
140227	d
139859	d
140662	d
141791	d
141685	d
148640	d
148651	d
147865	d
148099	d
148100	d
149104	d
149884	d
146221	d
146245	d
146244	d
148958	d
149059	d
146254	d
148887	d
148924	d
149139	d
148360	d
148840	d
148918	d
148892	d
149194	d
149180	d
148561	d
148947	d
147415	d
147660	d
146136	d
146307	d
147024	d
146453	d
146582	d
146821	d
146822	d
146628	d
146750	d
147528	d
146910	d
146117	d
147072	d
147087	d
147748	d
147436	d
145762	d
147181	d
145120	d
146335	d
146948	d
25379	d
31175	d
30877	d
31062	d
31891	d
30991	d
30992	d
30961	d
32612	d
25827	d
25838	d
26816	d
26762	d
25856	d
26850	d
28850	d
28394	d
6306	d
310	d
1260	d
17095	d
17096	d
10062	d
15787	d
12632	d
55006	d
57003	d
53283	d
59799	d
42047	d
39644	d
41414	d
35173	d
35337	d
34880	d
35226	d
38735	d
36851	d
37550	d
37566	d
38849	d
38376	d
37906	d
38106	d
48292	d
47922	d
49667	d
171471	d
161680	d
106695	d
89777	d
38509	d
155264	d
192306	d
153139	c
153140	c
119948	c
138080	c
157884	c
109649	c
140257	c
189074	c
144342	c
92353	c
134453	c
192306	e
155264	e
171333	e
161021	e
84966	e
181851	e
150193	e
135093	e
194468	e
181944	e
87195	b
